FMID,street,city,County,State,zip,x,y
1004271,408 Bridge Street along East Park,Charlevoix,Charlevoix,Michigan,49720,-85.2584,45.316373
1004272,2744 Peachtree Rd,Atlanta,Fulton,Georgia,30305,-84.386034,33.831906
1004274,4801 Southside Drive,Louisville,Jefferson,Kentucky,40214,-85.763805,38.178432
1004275,1 Avenue of the Arts,Newport News,Newport News,Virginia,23606,-76.493382,37.062506
1004276,Main Street at Court and Church Street,Buffalo,Erie,New York,14203,-78.87492,42.88417
1004278,"423 North Norton Ave, Blue Bell Park",Sylacauga,Talladega,Alabama,35150,-86.251829,33.173631
1004280,Main St-6th Ave,Drake,McHenry,North Dakota,58736,-100.371695,47.927228
1004282,0,Clayton,Polk,Wisconsin,54004,-91.1028,42.9064
1004283,469 N. Seymour Avenue,Mundelein,Lake,Illinois,60060,-88.0025283,42.2709425
1004285,West Street next to CVS,Ware,Hampshire,Massachusetts,1082,-72.25011,42.25655
1004286,2999 Ocean Drive,Vero Beach,Indian River,Florida,32963,-80.3554,27.6497
1004289,0,Milford,Oakland,Michigan,48381,-83.599662,42.589528
1004290,0,Wausau,Marathon,Wisconsin,54403,-92.6256,44.856
1004291,Corner of S. Martin & Diamond St.,Titusville,Crawford,Pennsylvania,16354,-79.671438,41.626744
1004295,Avalon and L St.,Wilminton,Los Angeles,California,90744,-118.263,33.7867
1004296,1392 Whiddon Mill Rd.,Tifton,Tift,Georgia,31793,-83.533784,31.464378
1004297,Main St. and Middle Street,MONTEVALLO,Shelby,Alabama,35115,-86.862893,33.099545
1004298,23718 Bothell Everett Highway,Bothell,Snohomish,Washington,98021,-122.221699,47.782323
1004299,70 Main Street  Downtown Cadiz,Cadiz,Trigg,Kentucky,42211,-87.83619,36.862713
1004300,1 Water St. Mill Park,Augusta,Kennebec,Maine,4330,-69.772623,44.321617
1004302,Main Street- downtown,Albertville,Marshall,Alabama,35950,-86.206775,34.267096
1004303,17 S. Capitol St.,Pekin,Tazewell,Illinois,61554,-89.6495,40.5682
