FMID,city,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP
1008212,Waco,Texas,76705,-97.105075,31.590965,Y,N,N,N,N
1006966,Brownwood,Texas,76801,-98.9906,31.7084,N,N,N,N,N
1007154,San Angelo,Texas,76903,-100.432,31.4555,N,N,N,N,N
1001485,Houston,Texas,77002,-95.3693,29.7602,N,N,N,N,N
1007156,Houston,Texas,77002,-95.3664,29.7558,N,N,N,N,N
1011673,Houston,Texas,77003,-95.342978,29.757511,Y,N,N,N,Y
1000732,Houston,Texas,77005,-95.410252,29.714855,Y,N,N,N,N
1009467,Houston,Texas,77021,-95.3458,29.7026,Y,N,N,N,N
1019247,Houston,Texas,77024,-95.386342,29.780472,Y,N,N,N,N
1019342,Houston,Texas,77027,-95.431103,29.741093,Y,N,N,N,Y
1010319,Houston,Texas,77042,-95.560152,29.736539,Y,N,N,N,N
1019250,Houston ,Texas,77044,-95.1773832,29.9341141,Y,N,N,N,N
1009529,Houston,Texas,77070,-95.5888,29.9979,Y,N,N,N,N
1008327,Conroe ,Texas,77303,-95.432957,30.346584,Y,N,N,N,N
1005059,Huntsville,Texas,77340,-95.550467,30.723087,N,N,N,N,N
1019242,Humble ,Texas,77346,-95.26831,29.988144,Y,N,N,N,N
1006946,Livingston,Texas,77351,-94.947,30.6733,N,N,N,N,N
1009461,Magnolia,Texas,77354,-95.7542,30.2113,Y,N,N,N,N
1009195,Tomball,Texas,77377,-95.6095,30.0028,Y,N,N,N,N
1019246,Humble ,Texas,77396,-95.2539369,29.9415214,Y,N,N,N,N
1019244,Cypress,Texas,77443,-95.6872981,29.9223808,Y,N,N,N,N
1019237,Sealy ,Texas,77474,-96.159309,29.78029,Y,N,N,N,N
1007000,Wharton,Texas,77488,-96.1012,29.3111,N,N,N,N,N
1010320,"Katy, Texas",Texas,77494,-95.775004,29.762524,Y,N,N,N,N
1019245,Katy ,Texas,77494,-95.7750405,29.7413678,Y,N,N,N,N
1005045,Sugar Land,Texas,77498,-95.637714,29.619915,Y,N,N,N,N
1019059,Angleton ,Texas,77515,-95.429496,29.162572,Y,N,N,N,N
1019150,Friendswood,Texas,77546,-95.150475,29.548639,Y,N,N,N,N
1011730,Friendswood,Texas,77546,-95.191302,29.520767,Y,N,N,N,N
1004056,Galveston,Texas,77551,-94.8349,29.2737,N,N,N,N,N
1005665,Kemah,Texas,77565,-95.0212,29.54093,Y,N,N,N,N
1003644,Clear Lake Shores,Texas,77565,-95.03278,29.54096,Y,N,N,N,N
1000838,Pearland,Texas,77581,-95.2835,29.5658,Y,N,N,N,N
1003501,Nederland,Texas,77640,-93.9499,29.8912,N,N,N,N,N
1018735,"Beaumont, ",Texas,77707,-94.167186,30.067677,Y,N,N,N,N
1007663,Bryan,Texas,77803,-96.37,30.6744,N,N,N,N,N
1002524,Brenham,Texas,77833,-96.479015,30.276812,Y,N,N,N,N
1009313,Navasota,Texas,77868,-96.088,30.3886,Y,N,N,N,N
1011952,Victoria,Texas,77901,-97.006456,28.799726,Y,N,N,N,Y
1007146,Cuero,Texas,77954,-97.1686,28.9695,N,N,N,N,N
1010688,Bandera,Texas,78003,-99.074251,29.727714,Y,N,N,N,N
1001139,Boerne,Texas,78006,-98.7285,29.7857,N,N,N,N,N
1004237,Comfort,Texas,78013,-98.91297,29.96761,N,N,N,N,N
1001137,Helotes,Texas,78023,-98.6885,29.567,N,N,N,N,N
1009312,Kerrville,Texas,78028,-99.1337,30.0474,Y,N,N,N,N
1012664,Laredo,Texas,78040,-99.508713,27.505348,Y,Y,N,Y,Y
1018809,Cibolo,Texas,78108,-98.2297673,29.5647022,Y,N,N,N,N
1000930,New Braunfels,Texas,78130,-98.1249,29.7018,N,N,N,N,N
1002079,Seguin,Texas,78155,-97.9609,29.5694,N,Y,N,N,N
1002080,Seguin,Texas,78155,-97.9637,29.5679,N,Y,N,N,N
1002078,Seguin,Texas,78155,-97.987168,29.570966,Y,N,N,N,N
1006540,San Antonio,Texas,78204,-98.498636,29.414412,Y,N,Y,Y,Y
1006539,San Antonio,Texas,78205,-98.49381,29.42429,Y,N,Y,Y,Y
1012595,San Antonio,Texas,78205,-98.488822,29.43105,Y,N,N,N,Y
1007168,San Antonio,Texas,78207,-98.5064,29.4252,N,N,N,N,N
1007174,San Antonio,Texas,78207,-98.5292,29.4104,N,N,N,N,N
1018304,San Antonio ,Texas,78209,-98.481174,29.493258,Y,N,N,N,N
1004735,San Antonio,Texas,78209,-98.480976,29.494037,Y,N,N,N,N
1009840,San Antonio,Texas,78210,-98.498783,29.414706,Y,Y,N,Y,Y
1011711,Castle Hills ,Texas,78213,-98.5224,29.534131,Y,N,N,N,N
1001938,San Antonio,Texas,78215,-98.480184,29.442404,Y,N,N,N,N
1004522,San Antonio,Texas,78216,-98.4947323,29.4943094,Y,N,Y,Y,Y
1007178,San Antonio,Texas,78218,-98.3988,29.4965,N,N,N,N,N
1019102,San Antonio,Texas,78224,-98.543052,29.321634,Y,N,Y,Y,Y
1004519,San Antonio,Texas,78230,-98.550282,29.543276,Y,N,Y,Y,Y
1004520,Leon Valley,Texas,78238,-98.613282,29.5007767,Y,N,Y,Y,Y
1001138,San Antonio,Texas,78255,-98.6364,29.6653,N,N,N,N,N
